Region,salary-hours-femme,salary-hours-homme,difference 
Guadeloupe,13.0,14.6,1.5
Martinique,12.8,14.4,1.6
Guyane,13.5,15.1,1.6
La Réunion,12.2,13.2,1.0
Île-de-France,16.4,19.9,3.5
Centre-Val de Loire,12.0,14.4,2.4
Bourgogne-Franche-Comté,11.5,13.9,2.4
Normandie,11.8,14.3,2.5
Hauts-de-France,11.9,14.3,2.3
Grand Est,11.7,14.4,2.7
Pays de la Loire,11.6,14.1,2.5
Bretagne,11.5,13.9,2.3
Nouvelle-Aquitaine,11.8,14.0,2.3
Occitanie,12.0,14.7,2.7
Auvergne-Rhône-Alpes,12.4,15.3,2.9
Provence-Alpes-Côte d'Azur,12.3,15.2,2.8
Corse,11.5,13.5,2.0